id,name,lat,lon,cuisine,avg_rating,prep_capacity,manager_contact
1,Green Bites,12.976062,77.5794,Italian,3.0,15,+91-922575562
2,Spice Diner,12.962596,77.594771,Italian,4.3,10,+91-931429110
3,Tandoor Bites,12.97794,77.589488,Biryani,3.6,8,+91-771662963
4,Madras House,12.972759,77.60974,Continental,4.1,20,
5,Urban Eats,12.97676,77.603338,Italian,3.6,10,+91-999949389
6,Cloud House,12.964143,77.608573,Healthy Bowls,3.9,6,+91-784752529
7,Daily Bistro,12.962628,77.588977,North Indian,2.9,8,+91-752235350
8,Wok Box,12.962404,77.594575,Beverages,3.1,15,+91-763606628
9,Tandoor Diner,12.967184,77.610514,Beverages,2.9,4,+91-718526544
10,Bombay Diner,12.967913,77.597668,Fast Food,4.6,4,+91-896028436
11,Tandoor Cafe,12.966486,77.587992,North Indian,4.6,8,+91-993926371
12,Fresh Bites,12.96515,77.599046,Chinese,3.1,20,+91-812614124
13,Garden Bistro,12.95918,77.590215,Fast Food,3.3,12,+91-981498611
14,Bombay Diner,12.980107,77.582709,Chinese,4.6,10,+91-736998038
15,Cloud Hub,12.978414,77.591368,Biryani,3.9,4,
16,Spice House,12.973325,77.59743,North Indian,4.7,20,+91-838754377
17,Wok Treats,12.972855,77.601747,Healthy Bowls,4.4,20,+91-866851760
18,Spice Hub,12.968755,77.606243,South Indian,,15,+91-981979055
19,Green Cafe,12.969956,77.5921,Italian,3.0,20,
20,Urban Box,12.987577,77.605353,Italian,3.8,6,+91-962401521
21,Bombay Corner,12.964086,77.60369,Bakery & Desserts,4.3,20,+91-839219319
22,Namma Kitchen,12.986599,77.597134,Biryani,,12,+91-978159587
23,Fresh House,12.958164,77.584546,Italian,4.8,12,+91-898231132
24,Wok Corner,12.974278,77.595329,Italian,3.5,8,+91-819736572
25,Fresh House,12.955898,77.598477,South Indian,3.9,6,+91-848250360
26,Hot Corner,12.960648,77.60528,Healthy Bowls,4.5,0,+91-899038526
27,Green House,12.958915,77.6067,South Indian,3.1,8,+91-745431319
28,Wok Eats,12.971773,77.586636,North Indian,3.7,8,
29,Bombay Diner,12.986954,77.583771,Bakery & Desserts,3.0,15,+91-784158663
30,Green Bowl,12.960339,77.582678,North Indian,3.2,6,+91-893303777
31,Curry Eats,12.979583,77.608224,Chinese,4.5,0,+91-865259205
32,Daily Bites,12.981272,77.60625,Fast Food,4.3,10,+91-856930359
33,Curry Bites,12.965366,77.604051,North Indian,3.6,8,+91-778371272
34,Namma Bowl,12.96839,77.609997,North Indian,4.8,6,
35,Daily Bowl,12.97469,77.589662,Bakery & Desserts,3.9,10,
36,Daily Diner,12.969554,77.595237,Italian,2.9,15,+91-950308572
37,Royal Junction,12.971828,77.599941,Fast Food,3.2,15,+91-786384014
38,Spice Corner,12.96523,77.596134,Fast Food,4.5,12,+91-978608612
39,Daily Plate,12.970742,77.607438,Chinese,3.4,15,+91-951663795
40,Spice Kitchen,12.962789,77.584972,Italian,4.1,20,+91-961536717
41,Cloud Plate,12.97142,77.586408,North Indian,4.6,4,+91-779519112
