id,lat,lon,vehicle_type,completed_orders,shift_hours,current_load,rider_call_sign
1,0.0,0.0,,12,6.0,1,TW-258
2,12.953645,77.60483,car,82,6.3,0,KR-271
3,12.956114,77.585365,bike,397,8.1,0,WY-778
4,12.973944,77.583266,Scooter,1320,6.4,3,QJ-190
5,12.953721,77.580232,scooter,308,9.3,1,FN-723
6,12.955498,77.591987,BIKE,35,0.2,2,QU-908
7,12.98661,77.608931,bicycle,3069,1.7,1,SS-381
8,12.964732,77.58513,bike,312,8.6,2,WP-278
9,12.968436,77.596705,CAR,1,10.9,1,VB-609
10,12.963009,77.583013,Bicycle,9,3.6,4,LA-804
11,12.97349,77.591574,bike,44,1.4,3,QZ-392
12,0.0,0.0,bicycle,251,9.9,0,JZ-805
13,12.970984,77.580973,4-wheeler,722,5.8,0,
14,12.976319,77.608946,two_wheeler,1759,8.5,0,BD-299
15,12.952216,77.605839,Bicycle,2272,8.5,4,YJ-465
16,12.965482,77.587875,Bicycle,62,8.4,4,KW-622
17,12.970519,77.583567,Scooter,378,9.3,1,GR-620
18,12.963046,77.592805,BIKE,391,2.3,0,CB-206
19,12.975222,77.600533,CAR,216,1.8,4,YD-178
20,12.97624,77.599182,car,942,7.6,3,KV-658
21,12.976549,77.574701,cycle,1414,4.6,1,RU-499
22,12.97949,77.595271,car,3369,7.3,1,SN-293
23,12.954852,77.599332,e-scooter,3929,8.1,0,DL-479
24,12.964342,77.608436,e-scooter,435,6.8,4,JW-196
25,12.977215,77.59123,two_wheeler,28,8.6,0,EF-861
26,12.991162,77.587711,scooter,728,2.0,3,KE-816
27,12.970209,77.605459,cycle,152,7.7,0,AN-176
28,12.953379,77.589814,4-wheeler,18,3.1,0,KZ-351
29,12.980582,77.590523,Car,35,8.9,0,GR-844
30,12.960711,77.58864,Car,245,0.5,3,KR-869
31,12.957268,77.603497,cycle,181,10.2,3,
32,12.967824,77.577674,,3187,10.0,1,BM-870
33,12.966562,77.597096,scooter,1482,4.1,1,FP-549
34,12.963484,77.606208,bike,2500,10.5,3,
35,12.97655,77.603976,car,55,5.0,0,HS-501
36,12.96548,77.58753,two_wheeler,494,9.5,2,EG-118
37,12.95405,77.584163,bike,36,8.1,2,
38,12.978466,77.606717,scooter,9,1.5,0,ZC-102
39,12.980231,77.579864,Bicycle,16,1.9,0,BA-295
40,12.956777,77.595657,Scooter,3124,9.2,2,DH-489
41,12.956263,77.612239,e-scooter,406,4.5,1,UX-710
42,12.986328,77.592935,Scooter,17,0.0,2,FB-596
43,12.989537,77.610996,Bicycle,46,5.4,3,GV-784
44,12.973408,77.593428,Car,143,2.1,0,DZ-642
45,12.985766,77.582472,Bike,20,2.4,0,UW-398
46,12.988375,77.607328,BIKE,10,2.0,0,AR-760
47,12.974292,77.597611,bicycle,3013,2.1,1,WP-931
48,12.980696,77.611767,CAR,3803,0.2,0,PJ-453
49,12.953968,77.602573,Car,47,0.2,1,
50,12.969029,77.607136,Bicycle,3445,8.3,2,JR-990
51,12.966122,77.59684,e-scooter,29,8.2,0,RS-740
52,12.955732,77.579023,Bicycle,11,1.6,1,UY-947
53,12.962212,77.576574,CAR,152,1.9,2,DL-377
54,12.985614,77.6039,car,740,7.3,2,JX-828
55,12.96226,77.606395,BIKE,1513,10.0,3,YT-290
56,12.958141,77.589138,CAR,274,0.7,2,NR-989
57,12.96091,77.593267,two_wheeler,47,8.1,0,UJ-720
58,12.977207,77.612298,CAR,60,2.8,0,LS-804
59,12.954455,77.608198,scooter,566,10.5,3,
60,12.969937,77.60145,,22,2.4,1,KA-540
61,12.969395,77.606994,bicycle,226,4.4,0,MS-166
62,12.96531,77.583813,BIKE,5,9.5,0,EC-502
63,12.955802,77.60888,BIKE,145,2.4,0,EA-248
64,12.964476,77.575874,Bicycle,47,6.0,3,QH-335
65,12.984103,77.5909,Bike,3666,9.2,0,CW-982
66,12.976573,77.61226,e-scooter,1256,5.7,1,WG-253
67,12.983621,77.585188,bicycle,27,5.3,2,WX-661
68,12.954102,77.57792,e-scooter,8,9.0,2,NR-566
69,12.969951,77.577266,Scooter,32,7.0,2,UZ-565
70,12.974653,77.57679,Scooter,45,0.2,5,HC-243
71,12.966854,77.608306,4-wheeler,581,3.0,2,RY-588
72,12.967243,77.593936,two_wheeler,3843,6.6,0,ZL-911
73,12.98024,77.588769,bike,3,6.0,2,
74,12.979988,77.605065,Bicycle,18,6.4,2,LK-480
75,12.952114,77.581802,two_wheeler,3622,5.6,4,KN-724
76,12.952174,77.579957,4-wheeler,97,4.8,0,AE-605
77,12.96516,77.609432,BIKE,22,9.8,0,KX-697
78,12.953956,77.59158,4-wheeler,25,8.5,0,SZ-391
79,12.959678,77.611963,Bike,3623,0.3,-1,
80,0.0,0.0,scooter,466,0.1,0,NV-462
81,12.956151,77.590622,two_wheeler,1588,0.5,2,XT-544
82,12.989944,77.580252,4-wheeler,59,8.6,4,TE-765
83,12.963691,77.606408,cycle,2672,3.5,3,QX-970
84,12.959279,77.598,bicycle,4,2.6,1,HF-833
85,12.985489,77.601385,Scooter,41,5.6,0,LU-207
86,12.972745,77.583313,bike,134,5.9,0,YB-171
87,12.98318,77.6105,4-wheeler,2642,4.5,1,NQ-614
88,12.978707,77.602827,Bicycle,8,6.1,2,HH-444
89,12.952311,77.583902,Car,432,10.8,2,GQ-500
90,12.991457,77.580098,bicycle,35,3.8,0,VC-143
91,12.983437,77.602819,car,3411,8.8,0,BQ-252
92,12.975716,77.600424,bicycle,2532,5.7,1,XA-922
93,12.988195,77.583495,Bike,3163,8.8,1,AU-294
94,12.990472,77.587347,car,25,2.4,0,CJ-948
95,12.955326,77.591982,Bicycle,1627,9.7,2,FH-450
96,12.954608,77.5957,cycle,80,0.8,1,UQ-413
97,12.952626,77.603628,Scooter,1328,3.6,4,FV-670
98,12.970555,77.593742,Bike,440,3.8,1,
99,12.956709,77.6005,cycle,21,10.0,1,GS-364
100,12.952155,77.605763,e-scooter,39,4.4,4,
101,12.974735,77.592121,Bicycle,3402,2.2,2,
102,12.989395,77.603742,Scooter,311,10.0,3,JS-338
103,12.962457,77.613496,scooter,3322,5.1,1,EG-259
104,12.976212,77.614418,BIKE,2077,8.0,2,NL-304
105,12.987135,77.608228,Scooter,28,1.2,1,CX-225
106,12.985156,77.590746,Car,30,8.2,0,ZX-682
107,12.979234,77.579295,two_wheeler,395,6.8,2,XK-854
108,12.95464,77.580145,scooter,383,4.8,1,RN-684
109,12.965972,77.598987,cycle,2947,0.6,3,FL-357
110,12.965245,77.579743,bike,20,10.4,3,UZ-561
111,12.984513,77.591991,Car,157,9.9,0,HJ-108
112,12.98581,77.61304,e-scooter,132,7.7,2,QQ-969
113,12.974434,77.608697,Bike,50,5.9,1,
114,12.987559,77.606664,Bicycle,452,6.8,3,LL-972
115,12.984896,77.613919,cycle,65,10.2,0,ED-127
116,12.96668,77.602988,e-scooter,39,1.0,0,UR-151
117,12.968835,77.601148,scooter,156,1.5,0,TQ-296
118,12.975101,77.607426,bike,3229,10.7,4,LZ-162
119,12.980524,77.613682,scooter,1838,10.8,1,UC-990
120,12.987709,77.583049,BIKE,919,9.7,5,RR-738
121,12.956802,77.57788,two_wheeler,39,6.6,1,HS-231
122,12.952323,77.608237,cycle,602,10.9,5,CB-943
123,12.978065,77.614201,CAR,19,7.2,1,
124,12.974936,77.575935,Scooter,455,2.4,1,HZ-674
125,12.973472,77.608938,BIKE,72,3.0,1,SP-315
126,12.958119,77.585913,CAR,339,2.2,0,BK-887
127,12.967615,77.592224,bicycle,1860,5.5,1,ZQ-247
128,12.975197,77.575908,Scooter,3893,3.6,0,BM-319
129,12.969688,77.582846,BIKE,2177,7.1,1,NY-179
130,12.983751,77.584854,cycle,17,8.2,0,MA-138
131,12.990334,77.595188,Bike,42,0.1,0,XS-494
132,12.957444,77.608275,Bicycle,3434,8.6,1,BE-232
133,12.956446,77.580426,4-wheeler,1761,10.7,2,JU-793
134,12.968053,77.577656,CAR,44,0.0,2,CL-945
135,12.966862,77.61387,4-wheeler,2746,7.1,0,
136,12.961234,77.585862,,3213,7.1,0,PR-450
137,12.980805,77.589289,bicycle,4,4.4,1,
138,12.971677,77.582001,bike,348,8.2,1,CJ-193
139,12.973672,77.598318,bicycle,176,1.5,0,UM-758
140,12.9784,77.597261,scooter,88,10.9,2,GA-740
141,12.965024,77.594226,scooter,48,7.9,0,BA-218
142,12.956125,77.577236,bicycle,288,5.5,0,XD-236
143,12.987263,77.613231,Scooter,338,6.9,2,LE-512
144,12.978474,77.592041,bike,2334,4.8,2,SE-678
145,12.968035,77.575652,bike,18,7.2,2,
146,12.957361,77.608335,BIKE,2834,2.5,4,VF-214
147,12.967851,77.613676,4-wheeler,2192,5.4,0,PX-910
148,12.955998,77.589403,Car,3,3.5,4,HF-990
149,12.95871,77.608221,cycle,485,0.8,2,NA-761
150,12.979349,77.599683,CAR,17,8.1,2,HF-722
151,12.98463,77.590841,BIKE,3718,5.0,1,TT-760
152,12.96041,77.607545,4-wheeler,2035,1.4,2,CN-922
153,12.987745,77.578782,Bicycle,455,6.9,1,RA-571
154,12.975645,77.603367,car,377,10.7,0,YC-582
155,12.958484,77.588658,e-scooter,2334,1.4,1,DW-207
156,12.971523,77.586149,CAR,41,8.4,0,DD-289
157,0.0,0.0,cycle,132,1.7,3,NL-737
158,12.968048,77.612624,bicycle,980,6.3,3,BT-532
159,12.980732,77.576267,car,2715,2.8,0,GC-860
160,12.95269,77.57593,scooter,2154,0.4,3,CJ-813
161,12.99013,77.59325,4-wheeler,11,3.7,0,FX-283
162,12.952912,77.607672,scooter,2,1.8,0,HN-297
163,12.980955,77.594066,car,3330,5.2,1,XB-206
164,12.95415,77.582865,e-scooter,9,4.0,0,GV-921
165,12.952799,77.600719,Bicycle,254,4.5,0,CT-475
166,12.964595,77.58704,scooter,36,1.3,2,VU-419
167,12.970543,77.589802,CAR,5,8.3,1,RM-999
168,12.952915,77.575024,scooter,435,7.3,5,
169,12.973092,77.610488,bike,257,8.1,0,UB-603
170,12.971947,77.579162,e-scooter,347,6.6,2,DJ-659
171,12.96189,77.596678,4-wheeler,241,1.8,3,XN-983
172,0.0,0.0,scooter,18,8.1,1,CV-690
173,12.9589,77.590162,car,296,4.6,0,ZA-306
174,0.0,0.0,car,35,5.0,0,GV-610
175,12.984713,77.583707,e-scooter,2561,3.1,0,XQ-846
176,12.980756,77.584462,scooter,1,8.8,3,NR-783
177,12.968258,77.577612,bike,156,8.0,5,DM-716
178,12.96196,77.590188,e-scooter,45,9.9,1,BC-733
179,12.986204,77.582104,CAR,410,3.7,3,
180,12.967559,77.605597,bicycle,2245,0.1,1,RK-861
181,12.963793,77.612984,bike,387,1.7,0,ZH-473
182,12.986015,77.605611,CAR,82,9.7,2,YP-711
183,12.966764,77.60759,car,151,10.8,1,WF-782
184,12.951781,77.585357,bicycle,6,4.7,1,GE-201
185,12.985914,77.601789,two_wheeler,3236,9.6,0,CH-132
186,12.978065,77.598237,e-scooter,0,2.6,0,HZ-425
187,12.977608,77.603875,bicycle,2979,10.6,3,EJ-556
188,12.976729,77.602663,scooter,309,3.3,1,SA-652
189,12.956918,77.612464,Bicycle,1211,10.2,0,SC-677
190,12.978152,77.595169,Scooter,38,10.1,2,YZ-213
191,12.983068,77.591171,car,472,3.0,2,SF-580
192,12.954729,77.594526,two_wheeler,23,1.9,1,AS-736
193,12.982385,77.580217,Car,95,1.9,2,XP-747
194,12.969691,77.604336,CAR,16,6.7,1,ZH-101
195,12.96202,77.608117,cycle,46,6.6,3,LV-747
196,12.953897,77.586371,cycle,39,4.5,0,NN-294
197,12.956235,77.583005,4-wheeler,1970,7.7,2,XM-353
198,12.97209,77.595073,scooter,41,5.4,1,BV-927
199,12.969089,77.609049,cycle,149,10.2,1,NR-721
200,12.962147,77.59112,two_wheeler,1832,6.9,2,HF-419
201,12.987484,77.602793,BIKE,635,4.4,0,YM-133
202,12.96397,77.612539,4-wheeler,60,2.8,1,BL-774
203,12.986861,77.597414,bicycle,348,7.7,3,GM-946
204,12.9836,77.583739,car,984,8.1,1,QV-190
205,12.981883,77.583024,e-scooter,3707,1.0,4,QB-455
206,12.991569,77.58748,e-scooter,363,5.3,1,DK-300
207,12.960029,77.612341,cycle,21,2.3,0,CA-532
208,12.983386,77.590824,cycle,16,2.2,1,YZ-799
209,12.970961,77.609964,Scooter,3575,6.9,2,PV-951
210,12.990642,77.599622,two_wheeler,1271,1.8,1,RC-186
211,12.978057,77.607562,Bike,15,9.8,2,DW-912
212,12.965835,77.598926,Bicycle,784,7.2,0,NF-679
213,12.979656,77.581102,scooter,16,2.5,1,QQ-124
214,12.977796,77.599484,Car,1489,3.7,2,AW-592
215,12.960659,77.583123,4-wheeler,469,5.9,0,NP-275
216,12.961019,77.596894,cycle,4,10.8,4,SH-415
217,12.973623,77.587002,two_wheeler,3770,9.1,5,DC-767
218,12.969683,77.587728,Scooter,2945,2.7,4,
219,12.962572,77.603524,Car,1115,5.0,3,XC-541
220,12.960184,77.576834,Car,1,3.8,1,EX-600
221,12.963027,77.581015,Scooter,45,7.0,4,BY-712
222,12.989,77.587647,Bicycle,19,8.4,0,TV-457
223,12.990053,77.612008,cycle,304,6.4,1,HP-982
224,12.966214,77.607866,CAR,2032,7.1,0,NA-993
225,12.958228,77.585094,CAR,329,7.6,0,NU-948
226,12.958942,77.589451,two_wheeler,500,7.0,2,EU-329
227,12.974043,77.581582,Bicycle,24,9.9,1,HM-704
228,12.98572,77.599802,Bike,2014,6.6,1,WH-984
229,12.97803,77.597419,two_wheeler,3620,7.1,0,SB-107
230,12.974454,77.576366,CAR,29,1.3,2,AP-835
231,12.955452,77.609415,BIKE,214,7.0,2,BW-470
232,12.97628,77.589281,cycle,357,1.8,0,HC-626
233,12.959079,77.599687,Bicycle,29,3.6,1,CB-309
234,12.96992,77.607997,two_wheeler,37,10.9,0,CU-935
235,12.955623,77.607286,Scooter,447,6.5,4,SP-966
236,12.956856,77.580059,BIKE,1531,0.3,3,CA-828
237,12.960613,77.60717,BIKE,412,6.4,3,GE-454
238,12.988692,77.601018,CAR,405,6.5,2,NW-215
239,12.974046,77.578143,bike,2438,3.6,0,DB-552
240,12.952098,77.593212,Bike,445,2.6,1,WT-296
241,12.978603,77.581487,scooter,194,7.2,3,UU-200
242,12.968215,77.584816,bike,1895,18.7,2,GC-144
243,12.97986,77.596167,e-scooter,2516,3.0,0,
244,12.965256,77.601303,cycle,5,2.7,0,DB-999
245,12.964987,77.580838,4-wheeler,18,1.0,0,NY-943
246,12.956909,77.574994,4-wheeler,1883,9.0,3,FT-144
247,12.976919,77.578616,cycle,470,0.3,1,NQ-707
248,12.961863,77.585463,cycle,230,9.3,2,WZ-795
249,12.95591,77.608065,,466,1.1,0,MN-917
250,12.963296,77.587328,CAR,1,9.8,5,DF-710
251,12.955517,77.605674,CAR,365,5.3,0,CJ-955
